urlKey,condition,gender,brand,primaryTitle,retailPrice,releaseDate,days_since_release,gender_men,gender_women,gender_infant,gender_preschool,gender_toddler,gender_unisex,brand_ASICS,brand_Nike,brand_Jordan,brand_New Balance,brand_adidas,averagePrice_Dead_Stock,averagePrice_Annual_Statistics,salesCount_Annual,color1,condition_New,thumbUrl,size,lastSale
adidas-zx-2k-boost-core-black-solar-yellow,New,men,adidas,adidas ZX 2K Boost,150.0,2020-08-01,1361.0,True,False,False,False,False,False,False,False,False,False,True,206,206,2,Core Black,True,https://images.stockx.com/images/adidas-ZX-2K-Boost-Core-Black-Solar-Yellow.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1623804916,7.0,65.0
air-jordan-1-mid-usa-2022-w,New,women,Jordan,Jordan 1 Mid,135.0,2022-03-22,763.0,False,True,False,False,False,False,False,False,True,False,False,107,107,278,Gym Red,True,https://images.stockx.com/images/Air-Jordan-1-Mid-USA-2022-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1671731836,6.0,92.0
adidas-microbounce-strap-kerwin-frost,New,men,adidas,adidas Microbounce T1,220.0,2022-07-13,650.0,True,False,False,False,False,False,False,False,False,False,True,150,150,55,Multicolor,True,https://images.stockx.com/images/adidas-Microbounce-Strap-Kerwin-Frost-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1663957245,11.0,159.0
nike-air-max-95-atmos-animal-pack-2-2018-black-box,New,men,Nike,Nike Air Max 95,200.0,2018-03-17,2229.0,True,False,False,False,False,False,False,True,False,False,False,300,300,64,Pony,True,https://images.stockx.com/images/Nike-Air-Max-95-Atmos-Animal-Pack-2-2018-Black-Box-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1606321760,7.5,428.0
nike-air-vapormax-plus-midnight-navy,New,men,Nike,Nike Air VaporMax Plus,200.0,2020-10-27,1274.0,True,False,False,False,False,False,False,True,False,False,False,271,271,5,Midnight Navy,True,https://images.stockx.com/images/Nike-Air-VaporMax-Plus-Midnight-Navy.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1642460006,9.5,220.0
nike-air-force-1-low-07-white-chlorophyll,New,men,Nike,Nike Air Force 1 Low '07,100.0,2022-05-31,693.0,True,False,False,False,False,False,False,True,False,False,False,81,81,321,White,True,https://images.stockx.com/images/Nike-Air-Force-1-Low-07-White-Chlorophyll-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1659621570,5.5,74.0
adidas-ultra-4dfwd-core-black,New,men,adidas,adidas Ultra 4DFWD,220.0,2022-07-13,650.0,True,False,False,False,False,False,False,False,False,False,True,143,143,426,Core Black,True,https://images.stockx.com/images/adidas-Ultra-4DFWD-Core-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1671115289,8.0,146.0
nike-air-more-uptempo-raygun-gs,New,child,Nike,Nike Air More Uptempo,140.0,2021-01-15,1194.0,False,False,False,False,False,False,False,True,False,False,False,201,201,14,White,True,https://images.stockx.com/images/Nike-Air-More-Uptempo-Raygun-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1620920144,4.0,224.0
nike-air-more-uptempo-atlanta,New,men,Nike,Nike Air More Uptempo,170.0,2017-12-20,2316.0,True,False,False,False,False,False,False,True,False,False,False,365,365,7,White,True,https://images.stockx.com/images/Nike-Air-More-Uptempo-Atlanta-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1607660464,10.5,250.0
adidas-crazy-8-white-black-2023,New,men,adidas,adidas Crazy 8,160.0,2023-11-25,150.0,True,False,False,False,False,False,False,False,False,False,True,132,132,31,Cloud White,True,https://images.stockx.com/images/adidas-Crazy-8-White-Black-2023-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1704480722,11.0,110.0
