Train Actual Price,Train Predicted Price ,%Predict 
129.0,127.51,98.84496124031008
135.0,136.6,101.18518518518518
411.0,388.62,94.55474452554745
89.0,83.48,93.79775280898876
39.0,57.34,147.02564102564105
92.0,98.12,106.6521739130435
75.0,76.38,101.84
600.0,627.29,104.54833333333333
113.0,119.31,105.58407079646017
162.0,170.34,105.14814814814815
174.0,157.3,90.40229885057471
243.0,236.91,97.49382716049382
204.0,212.67,104.25
120.0,100.94840476190473,84.1236706349206
125.0,116.3,93.04
123.0,117.89,95.84552845528455
126.0,111.38,88.39682539682539
73.0,74.87,102.56164383561644
195.0,192.26,98.59487179487178
450.0,360.49,80.1088888888889
120.0,134.96,112.46666666666667
116.0,118.68,102.3103448275862
333.0,369.12,110.84684684684684
93.0,95.16,102.32258064516128
99.0,98.55,99.54545454545455
100.0,111.83,111.83000000000001
270.0,245.94,91.08888888888889
206.0,196.81,95.53883495145631
147.0,139.62,94.9795918367347
303.0,309.34,102.09240924092408
90.0,107.57,119.52222222222221
133.0,119.86,90.1203007518797
33000.0,32178.0,97.50909090909092
63.0,90.88,144.25396825396825
126.0,132.55,105.1984126984127
153.0,169.73,110.93464052287581
187.0,174.26,93.18716577540106
121.0,114.14,94.33057851239668
105.0,105.32,100.3047619047619
88.0,87.07333333333332,98.94696969696969
91.0,97.74,107.4065934065934
114.0,113.83,99.85087719298245
78.0,88.5,113.46153846153845
75.0,89.88,119.83999999999999
101.0,99.09,98.10891089108911
193.0,182.82,94.72538860103626
439.0,538.19,122.59453302961276
101.0,105.52,104.47524752475248
83.0,82.7,99.63855421686748
205.0,183.4,89.46341463414635
73.0,81.87,112.15068493150686
80.0,79.65,99.56250000000001
134.0,130.19,97.15671641791045
720.0,697.21,96.83472222222223
90.0,93.95,104.38888888888889
135.0,144.07,106.71851851851852
163.0,144.6,88.71165644171779
118.0,120.64,102.23728813559323
267.0,254.08,95.16104868913858
150.0,148.99,99.32666666666667
222.0,269.75,121.509009009009
121.0,112.28,92.79338842975207
101.0,102.44,101.42574257425743
257.0,234.25,91.14785992217898
130.0,147.08,113.13846153846154
88.0,98.6,112.04545454545453
120.0,118.685,98.90416666666667
126.0,155.05,123.05555555555556
